year,date,team,opponent,win,srs,outcome,PTS,REB,AST,STL,BLK,TOV,TS%,3P%,,,N,O,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
2023,2023-03-19,Baylor,Creighton,0.051,-0.53,L,1.3,1.3,2.1,1.3,0.8,-2.2,0.024,0.002,2023,Creighton,2.15,Team,37,40.3,27.4,58.5,0.469,18.8,34.1,0.551,8.6,24.4,0.354,13,16.6,0.783,8.3,28.7,37,15.7,5,4.1,11.6,13.1,76.4,Opponent,37,40.3,26.6,63,0.422,20.3,44.4,0.457,6.2,18.6,0.336,9,12.4,0.726,8.8,24.4,33.2,11.9,5.9,2.8,9.7,15.9,68.4,0.581,0.500
2023,2023-03-16,Boise State,Northwestern,0.071,-0.90,L,3.1,1.2,-0.2,1.2,0.7,0.3,0.014,0.007,2023,Drake,2.92,Team,35,40.9,27.2,58.1,0.469,19.3,36.6,0.526,7.9,21.5,0.37,12.4,16.2,0.767,7.9,27.8,35.7,13.7,5.3,2.6,10.5,14.9,74.8,Opponent,35,40.9,23.2,57.2,0.405,16.5,35.5,0.466,6.7,21.7,0.307,10.9,15.5,0.704,7.9,24.8,32.7,10.1,5.3,2.3,12,16.7,63.9,0.573,0.499
2023,2023-03-17,California Santa Barbara,Baylor,0.107,-14.00,L,-4.8,-2.2,-2.8,-2.1,-2.4,1.0,-0.004,0.000,2023,Duke,2.20,Team,36,40.1,26,57.6,0.452,19.2,37.3,0.515,6.8,20.3,0.335,13.2,17.2,0.766,12,26.7,38.7,14.6,5.7,4.5,12,15.3,72,Opponent,36,40.1,23.4,57.8,0.406,17.2,37.2,0.462,6.3,20.6,0.305,10.4,13.7,0.763,9.4,21.4,30.8,11.4,6.1,3.7,10.9,16.3,63.6,0.552,0.498
2023,2023-03-16,Colgate,Texas,0.000,-18.36,L,0.8,0.4,4.3,1.4,0.6,2.4,0.023,0.046,2023,Fairleigh Dickinson,2.64,Team,37,40.4,28.2,62.5,0.452,20.1,38.8,0.517,8.2,23.7,0.345,12.7,16.9,0.752,11.5,22.8,34.4,14.7,8,2,11.5,18.8,77.4,Opponent,37,40.4,26.3,55.7,0.472,18.5,33.5,0.552,7.8,22.2,0.35,13.9,18.6,0.743,9.3,24.7,34,14.9,5.8,3.9,15.3,15.9,74.2,0.553,0.581
2023,2023-03-16,College of Charleston,San Diego State,0.099,-7.41,L,6.3,5.9,3.4,2.5,1.9,-0.6,0.007,0.003,2023,Florida Atlantic,2.31,Team,39,40.3,27.8,59.6,0.466,18.2,33.4,0.545,9.6,26.3,0.366,12.6,17.5,0.719,10.9,28.1,38.9,14.4,6.5,2.6,11.8,15.7,77.8,Opponent,39,40.3,23.7,58.7,0.403,17.1,38.2,0.446,6.6,20.5,0.323,11.4,15.5,0.735,9.3,23.6,33,8.2,5.8,2.3,12.3,16.7,65.3,0.578,0.498
2023,2023-03-17,Connecticut,Iona,-0.037,15.34,W,0.5,1.5,1.9,-0.3,0.3,-0.3,0.011,0.000,2023,Furman,2.77,Team,36,40.4,28.2,59.1,0.477,18.8,31.7,0.592,9.4,27.4,0.344,15,20.2,0.741,9.8,25.3,35.1,16.7,6.6,3.2,11,16.8,80.9,Opponent,36,40.4,26,58.2,0.447,19.3,37.8,0.511,6.7,20.4,0.33,12.4,17.5,0.71,9.4,24.1,33.4,11.6,5.7,2.8,13.1,17.1,71.2,0.595,0.540
2023,2023-03-19,Connecticut,Saint Mary's (CA),-0.030,5.54,W,5.9,7.3,6.8,2.8,2.6,-1.2,0.005,-0.018,2023,Gonzaga,2.75,Team,37,40.1,32.1,61.7,0.521,24.6,41.8,0.588,7.5,19.9,0.379,14.4,20.8,0.693,10.4,26.8,37.2,16.3,7.2,3.4,10.7,16.6,86.1,Opponent,37,40.1,26.8,60.7,0.442,18.6,37,0.502,8.3,23.7,0.349,11.4,15.6,0.733,9,22.6,31.6,12.4,5.2,2.4,13.2,18.9,73.4,0.608,0.543
2023,2023-03-23,Connecticut,Arkansas,0.152,6.96,W,0.3,1.2,1.6,-2.1,-0.9,0.8,0.003,0.018,2023,Grand Canyon,2.69,Team,36,40.3,25.9,56.1,0.462,16.9,32.6,0.519,9,23.4,0.383,14.4,20.1,0.716,10.1,26.5,36.6,12.6,4.9,3.2,11.9,18,75.2,Opponent,36,40.3,24,58.7,0.409,17.9,39.4,0.453,6.1,19.3,0.317,13.2,18.8,0.703,11,22.7,33.6,10.4,5.6,2.7,10.8,17.8,67.3,0.579,0.502
2023,2023-03-25,Connecticut,Gonzaga,-0.091,3.96,W,-8.4,-0.8,-2.1,-4.1,-3.4,-0.8,-0.036,-0.034,2023,Houston,2.58,Team,37,40,27.3,59.5,0.458,19.6,37,0.531,7.7,22.6,0.34,12.6,17.2,0.733,12.8,26.1,38.9,14.7,7.9,4.9,10,16.7,74.9,Opponent,37,40,19.1,52.2,0.366,12.8,29.5,0.434,6.3,22.7,0.279,12.9,18.7,0.689,10,21.7,31.7,10.2,5.4,2.5,13.7,16.2,57.5,0.558,0.476
2023,2023-04-01,Connecticut,Miami (FL),-0.024,8.97,W,-4.2,-0.3,-2.5,-3.7,-3.2,-0.9,-0.025,-0.022,2023,Howard,2.38,Team,35,40.1,26.7,58.2,0.458,18.6,36.7,0.508,8.1,21.5,0.374,13.8,19.4,0.713,11.6,24.1,35.8,14.9,7.2,3.1,16.4,17.5,75.3,Opponent,35,40.1,25.8,57.9,0.445,18.5,36.7,0.505,7.2,21.2,0.341,13.9,20.2,0.687,10.9,22.4,33.4,12.2,8.8,3.1,15.4,17.6,72.6,0.564,0.544
2023,2023-04-03,Connecticut,San Diego State,-0.055,7.14,W,4.0,3.8,3.8,0.3,1.3,-0.5,0.014,0.014,2023,Illinois,2.00,Team,33,40.5,26.5,59,0.449,18.9,34.3,0.551,7.6,24.7,0.308,13.7,20.2,0.679,11.1,26.7,37.8,12.4,6.9,5.6,12.9,16.9,74.3,Opponent,33,40.5,24.4,58.6,0.416,18.4,40.8,0.451,6,17.8,0.334,12.5,17.7,0.705,9.8,24,33.8,10.7,6.9,2.8,13,18.3,67.2,0.547,0.506
2023,2023-03-17,Creighton,North Carolina State,-0.061,5.33,W,-1.8,-0.1,0.9,-1.2,-0.5,0.7,-0.004,0.014,2023,Indiana,2.71,Team,35,40.1,28.4,58.4,0.486,22.7,42.9,0.529,5.7,15.5,0.368,12.2,17.2,0.711,9.2,26.5,35.7,15.2,5.8,5.1,11.5,17.1,74.7,Opponent,35,40.1,24.3,59.5,0.409,16.8,37.1,0.454,7.5,22.5,0.334,12.5,17.7,0.704,10.8,23.4,34.3,11.7,6.5,3.2,11.2,16,68.7,0.566,0.510
2023,2023-03-19,Creighton,Baylor,-0.051,0.53,W,-1.3,1.6,-0.7,-1.5,-0.4,2.2,-0.024,-0.002,2023,Iona,2.67,Team,35,40.1,28,61,0.459,20.9,41.5,0.504,7.1,19.5,0.362,12.9,17.7,0.732,11.1,24.5,35.6,14.9,7.5,5.5,10.5,16.2,76,Opponent,35,40.1,23.6,57.4,0.411,17.7,37.5,0.471,5.9,19.9,0.297,12.5,17.7,0.705,10.9,24.1,34.9,12.2,5.3,2.8,14.4,16.1,65.6,0.552,0.503
2023,2023-03-24,Creighton,Princeton,-0.088,13.07,W,0.4,2.0,2.3,-0.6,0.4,0.6,0.004,0.013,2023,Iowa,2.50,Team,33,40.5,28.5,62.9,0.453,20.5,39.3,0.521,8,23.6,0.34,15,20.3,0.738,12.1,24.5,36.6,16.4,6.5,3.4,9.8,14.8,80.1,Opponent,33,40.5,28.5,60.1,0.474,21.4,40.7,0.525,7.1,19.4,0.366,10.7,14.3,0.746,9.2,25.5,34.7,14.5,5.7,3.5,12.8,18.1,74.7,0.558,0.563
